name	cityid	lat	lon	google
Shikabe	2128180	42.025829	140.821106	https://www.google.co.jp/maps/@42.025829,140.821106,15z
Makkari	2129327	42.757778	140.802505	https://www.google.co.jp/maps/@42.757778,140.802505,15z
Ikazaki	1926136	33.535278	132.654373	https://www.google.co.jp/maps/@33.535278,132.654373,15z
Saijo	1926054	33.916672	133.183334	https://www.google.co.jp/maps/@33.916672,133.183334,15z
Tsuitachi	1926027	33.916672	133.183334	https://www.google.co.jp/maps/@33.916672,133.183334,15z
Agematsu	1865720	35.784611	137.692673	https://www.google.co.jp/maps/@35.784611,137.692673,15z
Tokoro	2127746	44.118061	144.073608	https://www.google.co.jp/maps/@44.118061,144.073608,15z
Kaminoyama	2112409	38.153889	140.273605	https://www.google.co.jp/maps/@38.153889,140.273605,15z
Shinjo	2111065	38.75861	140.300827	https://www.google.co.jp/maps/@38.75861,140.300827,15z
Shinshiro	1852046	34.900002	137.5	https://www.google.co.jp/maps/@34.900002,137.5,15z
Kurayoshi	1858301	35.433331	133.816666	https://www.google.co.jp/maps/@35.433331,133.816666,15z
Gotsu	1863521	35	132.216675	https://www.google.co.jp/maps/@35,132.216675,15z
Noshiro	2128867	40.203892	140.02417	https://www.google.co.jp/maps/@40.203892,140.02417,15z
Tadami	1851292	37.349998	139.316666	https://www.google.co.jp/maps/@37.349998,139.316666,15z
Nihommatsu	2111656	37.583328	140.433334	https://www.google.co.jp/maps/@37.583328,140.433334,15z
Minobu	1857061	35.366669	138.433334	https://www.google.co.jp/maps/@35.366669,138.433334,15z
Sakado	1853209	35.95694	139.388885	https://www.google.co.jp/maps/@35.95694,139.388885,15z
Tawaramoto	1850472	34.549999	135.800003	https://www.google.co.jp/maps/@34.549999,135.800003,15z
Hatsukaichi	1863018	34.349998	132.333328	https://www.google.co.jp/maps/@34.349998,132.333328,15z
Sugito	1851504	36.033329	139.733337	https://www.google.co.jp/maps/@36.033329,139.733337,15z
Abashiri	2130741	44.021271	144.269714	https://www.google.co.jp/maps/@44.021271,144.269714,15z
Ashibetsu	2130612	43.50972	142.185562	https://www.google.co.jp/maps/@43.50972,142.185562,15z
Tonosho	1850004	34.48333	134.183334	https://www.google.co.jp/maps/@34.48333,134.183334,15z
Namekawa	2111706	35.866669	140.350006	https://www.google.co.jp/maps/@35.866669,140.350006,15z
Ofunato	2111530	39.071671	141.716675	https://www.google.co.jp/maps/@39.071671,141.716675,15z
Rumoi	2128382	43.934441	141.642776	https://www.google.co.jp/maps/@43.934441,141.642776,15z
Kyōgoku	2129350	42.855	140.886932	https://www.google.co.jp/maps/@42.855,140.886932,15z
Tomigusuku	1850108	26.184999	127.675003	https://www.google.co.jp/maps/@26.184999,127.675003,15z
Atami	1864945	35.089439	139.068604	https://www.google.co.jp/maps/@35.089439,139.068604,15z
Himi	1862612	36.849998	136.983337	https://www.google.co.jp/maps/@36.849998,136.983337,15z
Sawara	2111173	35.883331	140.5	https://www.google.co.jp/maps/@35.883331,140.5,15z
Tobetsu	2127802	43.216942	141.516937	https://www.google.co.jp/maps/@43.216942,141.516937,15z
Gojo	1863592	34.349998	135.699997	https://www.google.co.jp/maps/@34.349998,135.699997,15z
Okushiri	2038728	42.168331	139.518326	https://www.google.co.jp/maps/@42.168331,139.518326,15z
Hokuryū	2130032	43.783329	141.916672	https://www.google.co.jp/maps/@43.783329,141.916672,15z
Bihoro	2127383	43.822781	144.104446	https://www.google.co.jp/maps/@43.822781,144.104446,15z
Uryū	2127574	43.639439	141.887787	https://www.google.co.jp/maps/@43.639439,141.887787,15z
Matsumae	2129282	41.423889	140.104996	https://www.google.co.jp/maps/@41.423889,140.104996,15z
Funagata	2112917	38.688889	140.319443	https://www.google.co.jp/maps/@38.688889,140.319443,15z
Kuroishi	2129395	40.638889	140.592224	https://www.google.co.jp/maps/@40.638889,140.592224,15z
Yokaichiba	2110518	35.700001	140.550003	https://www.google.co.jp/maps/@35.700001,140.550003,15z
Nishinoomote	1855203	30.73333	131	https://www.google.co.jp/maps/@30.73333,131,15z
Soja	1851606	34.666672	133.75	https://www.google.co.jp/maps/@34.666672,133.75,15z
Kikonai	2129562	41.673061	140.437225	https://www.google.co.jp/maps/@41.673061,140.437225,15z
Kiyama	1859224	32.783329	130.816666	https://www.google.co.jp/maps/@32.783329,130.816666,15z
Gotemba	1863528	35.299999	138.933334	https://www.google.co.jp/maps/@35.299999,138.933334,15z
Omachi	1854186	36.5	137.866669	https://www.google.co.jp/maps/@36.5,137.866669,15z
Tsurugi	1849584	36.450001	136.633331	https://www.google.co.jp/maps/@36.450001,136.633331,15z
Ome	1854162	35.78389	139.243057	https://www.google.co.jp/maps/@35.78389,139.243057,15z
Moriguchi	1856584	34.73333	135.566666	https://www.google.co.jp/maps/@34.73333,135.566666,15z
Uji	1849372	34.883331	135.800003	https://www.google.co.jp/maps/@34.883331,135.800003,15z
Oi	1854530	35.851109	139.516663	https://www.google.co.jp/maps/@35.851109,139.516663,15z
Yugawara	1848113	35.150002	139.066666	https://www.google.co.jp/maps/@35.150002,139.066666,15z
Sakai	1853192	36.26667	139.25	https://www.google.co.jp/maps/@36.26667,139.25,15z
Ube	1849498	33.943062	131.251114	https://www.google.co.jp/maps/@33.943062,131.251114,15z
Konosu	1858794	36.049999	139.516663	https://www.google.co.jp/maps/@36.049999,139.516663,15z
Ako	1865412	34.75	134.399994	https://www.google.co.jp/maps/@34.75,134.399994,15z
Yao	1848522	34.616669	135.600006	https://www.google.co.jp/maps/@34.616669,135.600006,15z
Ina	1861641	35.82756	137.953781	https://www.google.co.jp/maps/@35.82756,137.953781,15z
Shiraoi	2128072	42.549999	141.350006	https://www.google.co.jp/maps/@42.549999,141.350006,15z
Koga	1859093	36.183331	139.716675	https://www.google.co.jp/maps/@36.183331,139.716675,15z
Nakanojo	1855852	36.583328	138.850006	https://www.google.co.jp/maps/@36.583328,138.850006,15z
Ise	1861450	34.48333	136.699997	https://www.google.co.jp/maps/@34.48333,136.699997,15z
Futtsu	1863713	35.305279	139.818604	https://www.google.co.jp/maps/@35.305279,139.818604,15z
Obu	1854803	35	136.966675	https://www.google.co.jp/maps/@35,136.966675,15z
Ami	2113115	36.033329	140.199997	https://www.google.co.jp/maps/@36.033329,140.199997,15z
